Paragraph_Number,Content
21,"As mentioned earlier, the cat family is commonly divided between cats that roar and cats that purr. Concerning the domestic cat, it is perfectly designed for two prime functions—pest control and companionship—and people can select a cat according to which purpose is mainly desired. Because differences between cat breeds can be subtle, especially compared with the differences between dog breeds, cats are routinely identified according to a basic physical characteristic, such as color, coat pattern, body size, or hair length. “Black,” “orange tabby,” “longhaired,” “shorthaired”—all are common categories by which cats are identified, advertised, and sought."
22,"A cat breed is a group of related felines that share a conformation, meaning a similar physical appearance, or a common geographic region of origin. As cats spread around the world, pockets of cats adjusted to their unique environments and passed on their adaptations to their offspring. For example, such breeds as the Siberian and Norwegian Forest Cat developed long dense coats to protect themselves from the harsh winters in Russia and Norway. Recent genetic studies have helped determine the origins of some of the oldest recognized breeds. In general, the world’s domestic cats (pedigreed and random-bred) come from four areas: Asia, western Europe, East Africa, and the Mediterranean basin."
23,Breed “standards” are written guidelines describing the attributes that make an ideal example of the breed. These standards are usually drafted by breeders involved in establishing or promoting the breed and are approved by cat associations.
24,"Mutation has generated the colorful palette of coat colors seen today. However, regardless of the color or pattern on the outside, all domestic cats are genetically tabbies like their wildcat ancestors. The tabby pattern may not be expressed because of modifying genes. For example, the dominant white gene masks the expression of other genes, meaning a totally white cat could possess the genes for nearly any pattern or color. These genes may be passed along to subsequent generations. All cats, regardless of their appearance, have genes for one or more of the following tabby patterns:"
25,"While many color and pattern combinations are possible, the following are the most important adaptations and factors:"
26,"Orange coloration in cats (known as genetic red) is called “sex-linked,” because the gene is located on the X chromosome. Female cats have two X chromosomes and can inherit the gene for orange and the gene for black, one on each X chromosome, and therefore can possess the colorful orange and black pattern known as tortoiseshell. But male cats with their one X chromosome can be either orange or black but not both. Only when a male cat has a rare mutation that gives him two XX chromosomes and one Y chromosome can he be tortoiseshell. Such males are usually sterile and often exhibit female behavior."
27,"Most breeds fall within three general conformation body types: cobby, as seen in the Persian; svelte, as seen in the Siamese; and moderate, as seen in the European Burmese. The cobby type is deep-chested, compact, and broad across the shoulders and rump; the head is large and round. The svelte type is slim and lithe, with long tapering lines, a narrow wedge-shaped head, and a long slender tail. Moderate falls between the two extremes."
28,"The average length of a full-grown domestic cat is 28 inches (71 cm) for males and 20 inches (51 cm) for females. The average weight of a healthy cat varies from 6 to 12 pounds (2.7 to 5.44 kg). However, size and weight can vary considerably, depending upon the sex and breed. For example, the Savannah cat breed can be up to 17 inches in height (43 cm) and 22 inches in length (56 cm), while members of the Munchkin breed are only 5 to 7 inches (13 to 18 cm) in height because of their short legs. Maine Coon cats  can weigh up to 22 pounds (10 kg)."
29,"Cats are highly specialized and adaptable carnivorous mammals. They are digitigrade, meaning that they walk on their toes, which is one of the reasons they can walk so silently. Typically, cats walk or run by moving the front and back legs on each side together. Each paw hits the ground at a different point in the stride, which is known as a four-beat gait. Most of the cat’s weight is centered on the front paws while walking."
30,"Because the vertebrae of the spinal column are held together by muscles rather than by ligaments, the cat can move with great agility. The construction of the shoulder joints permits the cat to turn its foreleg in almost any direction, allowing for quick turns when chasing prey. Cats are so well coordinated that they almost invariably land on their feet if they fall or are dropped."
31,"A cat’s teeth are adapted to three functions: stabbing, anchoring, and cutting. Cats have no flat-crowned crushing teeth and therefore cannot chew their food; instead, they cut it up. Except for the canines and molars, the cat’s teeth are more or less nonfunctional; most of the cheek teeth do not even meet when the mouth is closed."
32,"The cat’s claws retract when not in use. The action that unsheathes the claws also spreads the toes widely, making the foot more than twice as broad as it normally is and converting it into a formidable weapon. This claw-sheathing mechanism is present in all species of the cat family except the cheetah. Although there are no nerve endings in the nail itself, blood capillaries are present in the inner, “quick” area. This is why, when trimming the nails of domestic cats, pet owners should cut the sharp white tip of the nail but not the pink quick, since cutting the latter can be painful for a cat."
33,"Not only is the cat’s hearing acute, but its outer ears are equipped with more than a dozen muscles that allow the ears to swivel 180 degrees. This allows the ears to pivot toward the source of sounds, and the ear shape helps funnel sounds into the ears. This design also makes it easier to precisely locate the source of sounds."
34,"The tail is part of the spine and generally contains an additional 20-some caudal vertebrae. The exception is breeds such as the Manx and the Japanese Bobtail, which have mutations that give them short tails or no tails at all. The cat’s tail is mobile and used for both balance and communication. It acts as a counterweight, but it is the cat’s sense of equilibrium and its flexible spine that allow it to self-right when falling."
35,"The cat’s skin is composed of the dermis and the epidermis. Tiny erector muscles, attached to hair follicles, enable the cat to bristle. Even though the cat is a relatively small animal, it can frighten enemies by arching its back and bristling. In addition, bristling creates air pockets that protect the cat against cold. Regardless of coat length, all cats (except for such breeds as the Cornish Rex and the Devon Rex and hairless cats, such as the Sphynx) have three hair types: guard, awn, and down. The guard hairs are long and stiff and cover the top layer of the cat’s coat, keeping it dry. Down and awn hairs are secondary hairs (also called the undercoat) and are more numerous than guard hairs. Awn hairs are thin and usually have stiff pointed ends. Down hairs are the most numerous; they are very fine and mat the easiest."
36,"Cats, like humans, have five senses. But there is also a popular belief that domestic cats have a sixth sense—the ability to find their way home over long distances."
37,"The sense of touch is acute in cats. The whiskers (vibrissae) are touch receptors that are vital to the cat’s hunting ability. The eyebrows and hairs of the cheek, chin, legs, and ears are extremely sensitive to vibrations and provide cats with a great deal of information. This cat “radar” is vital to the cat’s ability to move about and hunt in low-light conditions. The paw pads are also acutely sensitive and help the cat when grasping prey."
38,"Cats have a keen sense of hearing. Their ears are mobile and can move independently of one other, allowing cats to pinpoint sounds with accuracy. The cat’s hearing is tuned to higher frequencies because the sounds of its usual prey are generally higher pitched. They can detect frequencies both above and below the range humans can detect."
39,"The cat’s superior hearing may explain the phenomenon sometimes called “seeing Martians.” For example, when a domestic cat suddenly stares wide-eyed over your shoulder, giving you the creepy feeling that something invisible is looming just behind you, the cat has likely just detected a sound too faint or high-pitched for human hearing."
40,"The cat’s tongue is covered by numerous sensory knobs called papillae, of which several types exist. In the center of the tongue, the papillae form backward-pointing hooks that rasp meat from the bones of prey and scoop up water when the cat drinks. The taste receptors are located on the front, sides, and back of the tongue. However, the cat has relatively few taste receptors—only 473 compared with humans’ 9,000."
41,"These taste receptors react to salty, sour, and bitter tastes, but very few respond to sweet tastes. Protein-based compounds activate the receptors, but fats seem to be perceived as smells rather than tastes. The senses of taste and smell are closely related in cats and, because of this, the aroma of food is vital to a cat’s enjoyment. For this reason, cats prefer their food to be warm, as odors are released by heat."
42,"Cats’ sense of smell is vastly better than that of humans: they have 200 million odor sensors compared with humans’ 5 million. Their sense of smell is crucial to sensing prey and evaluating food. Cats whose nasal passages become clogged because of illness may lose their appetites. In addition, cats have a special sense best described as a cross between taste and smell. The Jacobson’s, or vomeronasal, organ is situated between the nose and the palate, and cats access this sense by “flehming,” which looks like a cat grimace or sneer. Cats use this sense to examine odors they find interesting."
43,"Domestic cats are “crepuscular”—active at dawn and dusk. The pupils of the eyes expand or contract according to the intensity of light. Cats have nictitating membranes (third eyelids) that protect the eyeballs from damage. Color perception is not highly developed in cats, likely because it is unimportant to their survival; detecting a prey animal’s movements is more important than observing its colors."
44,"Despite popular belief, the eyes of domestic cats do not actually glow in the dark. When a cat’s eyes shine, light is bouncing off a layer of cells behind the retina called the tapetum lucidum. This mechanism allows cats to use ambient light very efficiently. Because domestic cats are crepuscular hunters, they need only one-sixth of the illumination levels humans require to see well."
45,"Although experts doubt the existence of this “sixth sense,” many anecdotal accounts contend that cats have an unidentified sense that allows them to find their way home, sometimes over distances of hundreds of miles. No one knows how cats accomplish this feat, but theories abound, including that cats use Earth’s magnetic fields to negotiate their way back to familiar territory."
46,"Cats are often considered aloof or unaffectionate, but that is a misunderstanding of their nature. They are solitary hunters but are nevertheless social animals. As long as they are not competing for limited food resources, they can form close-knit groups that are usually composed of the mother cat and her kittens and related females. Unneutered males roam, sometimes widely, seeking out mating opportunities."
47,"Burying urine and feces in loose soil is normal behavior for cats. Predators and dominant cats locate by scent, which is why domestic cats may avoid dirty litter boxes. Also, dominant cats spray urine and leave their wastes uncovered to mark their territory."
48,"Cats reach reproductive age between 7 and 12 months. If not altered, they spend a good deal of their time seeking out sexual partners, fighting off rivals, and raising the subsequent offspring. “Tomcats” (sexually mature males prone to fighting over mates) are not particular about the age, breed, or kinship of mating partners; they readily mate with related females."
49,"A breeding female (queen) can come into heat as many as five times a year. Domestic cats are induced ovulators, which means that ovulation does not occur until the queen mates. This efficient system vastly increases the chances that a cat will conceive, which is one of the reasons for cat overpopulation."
50,"The gestation period is about 65 days. Kittens are born blind, deaf, and helpless; their senses begin to function about 10 days after birth. Kittens at birth may lack distinctive coloring. For example, Siamese kittens are white at birth and begin to develop the characteristic “points” (distinct dark areas) at about three weeks."
52,"Cats use a variety of sounds to communicate with other cats and with their human companions. These sounds can be interpreted as greetings, demands, pleas, challenges, or warnings, depending on the tone."
53,"Genes are responsible for the determination and transmission of hereditary characteristics. Each gene inhabits a particular site (locus) on a chromosome, and, because cats have two of each chromosome, they also have two copies of each gene. These genes determine the genetic makeup of the cat, called the genotype. Domestic cats have 19 pairs of chromosomes and, like humans, one pair of sex chromosomes determining their sex (two X chromosomes for females, one X and one Y chromosome for males)."
54,"Cats, like all other sexually reproducing animals, inherit half of their genetic makeup from each parent. The paired gene copies may be different from each other and cause variations in characteristics. When both copies of a particular gene are the same, the associated trait will be present (expressed) in the cat’s physical appearance. If the cat has two different gene copies for a particular trait, the dominant gene will have a masking or overriding effect on the recessive gene. A recessive gene will be expressed in the physical appearance if two copies of it are inherited. For example, long hair in cats is a recessive trait; a cat must inherit the gene for long hair from both parents to have long hair."
55,"A gene at a particular locus on a chromosome may have more than one form, because genes can mutate, and these changes may be passed onto future generations. The existence of these alternate forms allows for variety in cat conformation, color, and coat. Some mutations have positive or neutral effects, but not all do. For example, the mutation that causes the ears to fold in the Scottish Fold breed can also cause a bone and cartilage abnormality called osteochondrodysplasia."
