name,url
2016-17,https://cfa.org/top-cats-gallery/?_sft_cat_year=2016-17
2015-16,https://cfa.org/top-cats-gallery/?_sft_cat_year=2015-16
2014-15,https://cfa.org/top-cats-gallery/?_sft_cat_year=2014-15
Resources,https://cfa.org/resources/
Breeder Code of Ethics,https://cfa.org/code-of-ethics/
Breed/Color Prefix Chart,https://cfa.org/color-prefix-chart/
CFA Newsletter Archives,https://cfa.org/cfa-newsletter-archives/
Grand Points Lookup (Herman),https://ecat.cfa.org/public/hermanonline.aspx
Special Offers,https://cfa.org/special-offers/
"AbyssinianAbyssinianCoat Length:ShorthairCharacteristics:Ticked coat; ruddy, cinnamon, blue and fawn colorsPersonality:Busy, active, agenda-driven and affectionate",https://cfa.org/breed/abyssinian/
"American BobtailAmerican BobtailCoat Length:Longhair and ShorthairCharacteristics:Medium to large, naturally occurring, bobtailed catPersonality:Loving and intelligent",https://cfa.org/breed/american-bobtail/
"American CurlAmerican CurlCoat Length:Longhair and ShorthairCharacteristics:Ears curl back, away from the face; available in a variety of colors and patternsPersonality:Energetic and affectionate",https://cfa.org/breed/american-curl/
"American ShorthairAmerican ShorthairCoat Length:ShorthairCharacteristics:Stocky, working breed: available in a wide variety of colors and patternsPersonality:Even temperament",https://cfa.org/breed/american-shorthair/
"American WirehairAmerican WirehairCoat Length:ShorthairCharacteristics:Crimped, springy coat; available in a variety of colors and patternsPersonality:Even temperament",https://cfa.org/breed/american-wirehair/
"BalineseBalineseCoat Length:LonghairCharacteristics:Longhaired variety of the Siamese and Colorpoint ShorthairPersonality:Vocal, affectionate, active",https://cfa.org/breed/balinese/
"BengalBengalCoat Length:ShorthairCharacteristics:Richly colored, highly contrasted coat of vivid spots or distinctive marblingPersonality:Curious and athletic",https://cfa.org/breed/bengal/
BirmanBirmanCoat Length:LonghairCharacteristics:Stocky body with white feet and point color pattern; easy to groom coat of intermediate lengthPersonality:Sweet and affectionate,https://cfa.org/breed/birman/
"BombayBombayCoat Length:ShorthairCharacteristics:Glossy, black coatPersonality:Playful and affectionate; lap cats",https://cfa.org/breed/bombay/
"British ShorthairBritish ShorthairCoat Length:ShorthairCharacteristics:Stocky, sturdy, plush coat; blue is very popular but also comes in other colorsPersonality:Calm and quiet; enjoy people",https://cfa.org/breed/british-shorthair/
"BurmeseBurmeseCoat Length:ShorthairCharacteristics:Stocky and well muscled; sable, also champagne, blue and platinumPersonality:People oriented, affectionate",https://cfa.org/breed/burmese/
"BurmillaBurmillaCoat Length:Longhair and ShorthairCharacteristics:Sparkling silver coat, and distinctive “make up” lining the nose, lips and eyesPersonality:Sociable, playful, and affectionate",https://cfa.org/breed/burmilla/
CFA & Our Programs,https://cfa.org/cfa-programs/
Breeders & Exhibitors,https://cfa.org/become-a-breeder/
